TIPO_PERSONA,EDAD,SEXO,MONTO_PRESTAMO,PLAZO,TASA_INTERES,CASA_PH,SEGURO,TRABAJADOR,DIRECTIVO,PRIMER_PRESTAMO,HIPOTECA_registrada,Cuenta_GARANTIA,RIESGO_INDIVIDUAL
1,47,1,1000,10,30.71,1,0,1,0,0,0,0,1
1,37,1,7500,36,27.68,2,0,1,0,1,0,0,1
1,30,1,2000,6,30.71,1,0,1,0,1,0,0,1
1,30,0,30000,48,18,2,0,1,0,1,0,0,1
1,28,1,5000,12,15.6,1,0,1,0,1,0,0,1
1,28,1,500,2,30.71,2,0,1,0,1,0,0,1
1,32,1,8000,24,27.68,2,0,1,0,0,0,0,1
1,32,0,11000,36,24.71,1,0,1,0,1,0,0,1
1,32,0,15000,36,24.71,1,0,1,0,1,0,0,1
1,27,0,11000,24,25.76,1,0,0,0,1,0,0,3
1,30,0,1500,12,30.71,1,0,0,0,1,0,0,1
1,30,0,20100,48,19.95,1,0,0,0,1,0,0,1
1,31,1,15000,36,24.41,2,0,1,0,1,0,0,1
1,28,0,3000,11,30.71,2,0,1,0,1,0,0,1
1,29,1,5400,36,19.56,1,0,1,0,1,0,0,1
1,27,1,15000,36,25.43,1,0,1,0,1,0,0,1
1,79,1,5000,36,12.68,1,0,0,0,1,0,0,1
1,86,1,7000,48,12.68,1,0,0,0,1,1,1,1
1,34,1,3000,15,30.71,2,0,1,0,0,0,0,1
1,76,1,20000,36,16.98,1,0,0,0,1,0,0,1
1,28,1,5000,24,27.68,1,0,1,0,1,0,0,1
1,36,1,4000,12,31.91,1,0,1,0,0,0,0,1
1,30,0,15000,36,24.41,2,0,0,0,0,0,0,1
1,42,1,15000,36,24.41,1,0,1,0,0,0,0,1
1,36,1,10050,36,25.76,1,0,1,0,1,0,0,1
1,31,1,5500,12,27.68,1,0,1,0,0,0,0,1
1,38,1,7600,10,27.68,1,0,1,0,1,0,0,1
1,27,0,10200,48,25.76,2,0,1,0,1,0,0,1
1,27,0,8300,24,26.94,1,0,1,0,1,0,0,1
1,30,0,2000,5,30.71,1,0,1,0,1,0,0,1
1,30,0,5000,18,30.71,1,0,1,0,1,0,0,1
1,26,0,23000,48,19.95,2,0,1,0,0,0,0,1
1,28,0,17000,36,23.07,2,0,1,0,1,0,0,1
1,24,1,1500,6,30.71,2,0,1,0,0,0,0,1
1,71,0,13000,58,24.41,1,0,0,0,1,0,0,1
1,54,0,51000,72,17,1,0,0,0,1,0,0,1
1,54,0,15000,36,32.33,2,0,0,0,1,0,0,1
1,73,0,2000,12,12.68,1,0,0,0,1,0,0,1
1,42,0,5952,36,12.68,1,0,0,0,1,1,1,1
1,72,0,10000,24,19.56,1,0,0,0,1,0,0,1
1,58,1,150000,60,14.24,2,0,0,0,1,0,0,1
1,82,1,7030,36,12.68,1,0,0,0,1,0,0,1
1,47,0,50000,72,17,1,0,0,0,1,0,0,1
